,subject,id,author,date,time,content,clean_content,refs,urls,classification
7497,elder trannies,34554121,Anonymous,2/5/2024,19:45:24,>>34554068I just want someone mature to love :c what's ur discord,"
I just want someone mature to love :c what's ur discord",['>>34554068'],[],0
32317,Does autogynephiIia make peopl(...),34579456,Anonymous,2/7/2024,22:54:11,https://strawpoll.com/2ayLk2BPvZ4,https://strawpoll.com/2ayLk2BPvZ4,[],['/2ayLk2BPvZ4'],0
32850,34581986,34582111,Anonymous,2/8/2024,5:26:17,">>34581986no, i wouldnt wish T on anyone that didnt want it it ruins you","
no, i wouldnt wish T on anyone that didnt want it it ruins you",['>>34581986'],[],1
66205,34610631,34617822,MarianneHonEdmund,02/11/24,01:56:44,>>34617798If you saw the type of women I called obese you'd hurl dude.,"
If you saw the type of women I called obese you'd hurl dude.",['>>34617798'],[],0
26111,34573259,34574607,lari,2/7/2024,15:50:48,>>34574462was it worth taking hrt and becoming a weak man or it is just better to repp without it?,"
was it worth taking hrt and becoming a weak man or it is just better to repp without it?",['>>34574462'],[],1
17047,34563952,34563952,Anonymous,2/6/2024,17:17:21,"Why do women get away with their homophobia? Between always using gay as an insult to emasculate guys and how they describe all bisexual men as gross diseased cheating lesser men, no one ever seems to call them out.","Why do women get away with their homophobia? Between always using gay as an insult to emasculate guys and how they describe all bisexual men as gross diseased cheating lesser men, no one ever seems to call them out.",[],[],0
2216,We have many examples of passi(...),34546139,sparky,2/5/2024,6:16:24,>>34546134don't do that,"
don't do that",['>>34546134'],[],0
20517,34567463,34568963,Anonymous,2/7/2024,2:47:42,>>34568936do you have a link for that to brands that you know are good?,"
do you have a link for that to brands that you know are good?",['>>34568936'],[],1
68841,/mtfg/ male to female general,34620585,un,02/11/24,09:38:07,>>34620576Lmao maybe some day,"
Lmao maybe some day",['>>34620576'],[],0
119,34551482,34552084,Anonymous,2/5/2024,17:02:10,>>34552056Not true for everyone. I literally just want an autistic gf.,"
Not true for everyone. I literally just want an autistic gf.",['>>34552056'],[],1
61684,Voice thread,34613815,Anonymous,02/10/24,18:36:22,>>34610776https://vocaroo.com/16VnpLLlNCPE,"
https://vocaroo.com/16VnpLLlNCPE",['>>34610776'],['/16VnpLLlNCPE'],0
20401,poon out or rep?,34568785,Anonymous,2/7/2024,2:16:25,>>34565909Almost all afabs pass.,"
Almost all afabs pass.",['>>34565909'],[],1
37219,34584470,34586156,Anonymous,2/8/2024,13:56:26,>>34586104I dont want people to do anything but stop calling themselves trans. Being quirky or alternative isnt a problem.Saying one is trans but doing zero to transition or not having gender dysphoria is nonsense.,"
I dont want people to do anything but stop calling themselves trans. Being quirky or alternative isnt a problem.Saying one is trans but doing zero to transition or not having gender dysphoria is nonsense.",['>>34586104'],[''],1
66230,I need to start HRT NOW!,34617362,Silly,02/11/24,00:50:03,>>34617315Folx’x’s packaging looks chic but unprofessional lol,"
Folx’x’s packaging looks chic but unprofessional lol",['>>34617315'],[],1
12188,34558707,34559512,Anonymous,2/6/2024,8:51:16,">>34559424do you think we don't try to be normal? Do you think we don't make a million rationalizations as to why we aren't actually trans? Do you think we don't wish we were cisgebder and normal? We spend years, decades even, telling ourselves it's normal to want to be the other sex every now and then, that it's based on x or y external factors, that it's just because we aren't making enough of an effort at being a man, that we'd never pass anyway, that we'd never be accepted if we did itwe aren't repressing shit when we come out; we're finally declaring to the world that we won't conform to the expectations of others at the expense of ourselves","
do you think we don't try to be normal? Do you think we don't make a million rationalizations as to why we aren't actually trans? Do you think we don't wish we were cisgebder and normal? We spend years, decades even, telling ourselves it's normal to want to be the other sex every now and then, that it's based on x or y external factors, that it's just because we aren't making enough of an effort at being a man, that we'd never pass anyway, that we'd never be accepted if we did itwe aren't repressing shit when we come out; we're finally declaring to the world that we won't conform to the expectations of others at the expense of ourselves",['>>34559424'],[],1
17493,34554929,34565368,Anonymous,2/6/2024,19:35:59,">>34564220No, not really. I like to see bottoms enjoying and getting off, and if slapping and choking you makes you get off then I'm into slapping and choking.","
No, not really. I like to see bottoms enjoying and getting off, and if slapping and choking you makes you get off then I'm into slapping and choking.",['>>34564220'],[],0
4098,/AGPgen/ - Ancient history edi(...),34498998,Linus,2/1/2024,15:25:26,,,[],[],0
58180,estrogen pills,34606720,Anonymous,2/10/2024,5:59:51,>>34606645I’m pretty sure at least in the United States it’s not illegal to buy prescriptions for yourself overseas if it’s not a controlled substance and is a three month supply or less,"
I’m pretty sure at least in the United States it’s not illegal to buy prescriptions for yourself overseas if it’s not a controlled substance and is a three month supply or less",['>>34606645'],[],1
42128,WHY,34589538,Anonymous,2/8/2024,19:38:08,">>34589490See that's just the thing. For me, any reminder of the pelvic differences between men and women makes me think of how I know exactly where to stab through my ribcage to hit my heart.","
See that's just the thing. For me, any reminder of the pelvic differences between men and women makes me think of how I know exactly where to stab through my ribcage to hit my heart.",['>>34589490'],[],1
858,/repgen/ - repressor general,34551973,Anonymous,2/5/2024,16:55:07,>>34551070does hrt give you female orgasms?i figured it was mostly the vagina doing the heavy lifting,"
does hrt give you female orgasms?i figured it was mostly the vagina doing the heavy lifting",['>>34551070'],[],1
72949,"No more puppy-girl, game over.",34623371,Anonymous,02/11/24,13:58:30,">>34621228I came back to just say you are disgusting.Short men like you should be forced into jails and get weekly estrogen injections, then they should have their balls and dick removed. They should then be wives to tall men. You are not and will never be a man, you will always be short and everyone will always walk over you. Short men should be given a tattoo to show that they will never be men. Short men should not be allowed to vote, and there should be a movie that gets made every year and wins every award that shows a short man losing his rights and becoming a woman for a tall Chad. This is the future short men like yourself deserve. You are and will never be a man, only some plaything for a real tall Chad. Short men need to be chained and forced to wear a collar for tall men. They need to be humiliated in public so everyone can see how weak short men are. If you are under 6’1” then this should and will be your future. I hope for a future where short men are all forced to ride tall men's dicks and be their wives!","
I came back to just say you are disgusting.Short men like you should be forced into jails and get weekly estrogen injections, then they should have their balls and dick removed. They should then be wives to tall men. You are not and will never be a man, you will always be short and everyone will always walk over you. Short men should be given a tattoo to show that they will never be men. Short men should not be allowed to vote, and there should be a movie that gets made every year and wins every award that shows a short man losing his rights and becoming a woman for a tall Chad. This is the future short men like yourself deserve. You are and will never be a man, only some plaything for a real tall Chad. Short men need to be chained and forced to wear a collar for tall men. They need to be humiliated in public so everyone can see how weak short men are. If you are under 6’1” then this should and will be your future. I hope for a future where short men are all forced to ride tall men's dicks and be their wives!",['>>34621228'],[''],1
42528,Timeline Thread,34591681,Anonymous,2/8/2024,22:53:51,">>34588621are u the person i said ""tretinoin could save her""","
are u the person i said ""tretinoin could save her""",['>>34588621'],[],0
35923,/gaygen/ - cool cat edition,34585863,A,2/8/2024,13:25:29,>>34585842the br***sh jumped out,"
the br***sh jumped out",['>>34585842'],[],0
7203,/ftmg/ sisters will seem stran(...),34554485,Anonymous,2/5/2024,20:14:44,>>34554341Not everyone makes it big doing onlyfans stuff,"
Not everyone makes it big doing onlyfans stuff",['>>34554341'],[],0
61542,34610631,34613149,Anonymous,02/10/24,17:39:56,tfw no fat ass hanging out of pants gf,tfw no fat ass hanging out of pants gf,[],[],0
55935,34606158,34606228,Anonymous,2/10/2024,4:07:09,">While I never really believed the cliché about women being>good for only one thing, I found that that sentiment kept creeping>into my fantasies. In my late teens, I would imagine myself being>sold into sex slavery and having strange men take advantage of me.remind me of why i should give a shit about what this creepy man has to say about my transsexuality?",">While I never really believed the cliché about women being>good for only one thing, I found that that sentiment kept creeping>into my fantasies. In my late teens, I would imagine myself being>sold into sex slavery and having strange men take advantage of me.remind me of why i should give a shit about what this creepy man has to say about my transsexuality?",[],[''],1
57076,34608555,34608561,Anonymous,2/10/2024,10:43:05,im boy sober,im boy sober,[],[],0
62047,/gaygen/ - beardy beard editio(...),34610431,Anonymous,02/10/24,13:43:24,"https://www.youtube.com/watch?v=hbAKp4HA7co>>34610310it's complicated, i'm a moron and he got tired ig. i don't blame him. i wish i could've spoken to him privately one last time. i've been on discord since monday or tuesday hoping for him to accept my friend request but nothing so far. i hope he's okay though.","https://www.youtube.com/watch?v=hbAKp4HA7co
it's complicated, i'm a moron and he got tired ig. i don't blame him. i wish i could've spoken to him privately one last time. i've been on discord since monday or tuesday hoping for him to accept my friend request but nothing so far. i hope he's okay though.",['>>34610310'],['/watch?v=hbAKp4HA7co'],0
5382,/clg/ Cis lesbian general,34528958,Anonymous,2/3/2024,21:50:41,>>34528878i wish i could give some recs but despite getting sensory issues from so many other things i dont have trouble with pantsuim much more picky about bras>>34528896if anything this gen exists to bait trollsi even pretend to be a tranny or a cis man sometimes just to annoy you sad bitches lelll>>34528938nah she doesnt use it which im ok with i wouldnt want that,"
i wish i could give some recs but despite getting sensory issues from so many other things i dont have trouble with pantsuim much more picky about bras
if anything this gen exists to bait trollsi even pretend to be a tranny or a cis man sometimes just to annoy you sad bitches lelll
nah she doesnt use it which im ok with i wouldnt want that","['>>34528878', '>>34528896', '>>34528938']",[],1
71480,34622006,34622762,Anonymous,02/11/24,13:06:43,>>34622006I love twinky ftms as a twinkSo win for me,"
I love twinky ftms as a twinkSo win for me",['>>34622006'],[],1
53766,/mtfg/ male to fujo general,34603728,pain,2/9/2024,21:52:43,>>34603721love artificial banana,"
love artificial banana",['>>34603721'],[],0
72904,clingy boymoder,34627394,Anonymous,02/11/24,19:39:34,">>34626009honestly, it's cuter. it's like she is wearing girl clothes under her hoodie","
honestly, it's cuter. it's like she is wearing girl clothes under her hoodie",['>>34626009'],[],1
12868,The TERF paradox,34560154,Anonymous,2/6/2024,10:40:19,">>34560145don't trannies hate men too?I mean if being male makes you want to rope, aren't you both in the end on the same side of maleness being wrong?","
don't trannies hate men too?I mean if being male makes you want to rope, aren't you both in the end on the same side of maleness being wrong?",['>>34560145'],[],1
4006,34549313,34549508,Anonymous,2/5/2024,13:39:35,>>34549463Not if you're an attractive girl (or pass as one),"
Not if you're an attractive girl (or pass as one)",['>>34549463'],[],1
24952,34569546,34572410,Anonymous,2/7/2024,12:07:49,>>34572393yawn.,"
yawn.",['>>34572393'],[],0
8570,34553837,34555197,Anonymous,2/5/2024,21:17:10,>>34555187hi lagolard,"
hi lagolard",['>>34555187'],[],0
27581,34574196,34577189,Anonymous,2/7/2024,19:34:20,>>34577179now kiss me on the mouth,"
now kiss me on the mouth",['>>34577179'],[],0
40888,/mtfg/ - Male to Female Genera(...),34590918,catbug,2/8/2024,21:48:54,">>34590895just think maiq, we could've been a power coupleyou a lawyer, me a cybercrime and threat intelligence expertoh well :^)>>34590857oribucks will be huge in the futureside note for literally anyone reading:someone that knows crypto, make a currency that's backed by the price of a costco hotdogthe president of the company threatened to kill people if they ever changed the priceso it's more stable than the dollar","
just think maiq, we could've been a power coupleyou a lawyer, me a cybercrime and threat intelligence expertoh well :^)
oribucks will be huge in the futureside note for literally anyone reading:someone that knows crypto, make a currency that's backed by the price of a costco hotdogthe president of the company threatened to kill people if they ever changed the priceso it's more stable than the dollar","['>>34590895', '>>34590857']",[],0
20905,/mmg/ - manmoder general - man(...),34569540,Anonymous,2/7/2024,4:41:42,哭,哭,[],[],0
56063,/passgen/ lovers month edition,34606462,Anonymous,2/10/2024,5:03:40,>>34591786pass>>34591794pass>>34592153pass>>34593311pass>>34593440pass>>34593548pass>>34593561pass>>34596022pass>>34599150pass>>34599459pass>>34600865pass>>34602930pass>>34604546pass>>34604699pass>>34604847pass,"
pass
pass
pass
pass
pass
pass
pass
pass
pass
pass
pass
pass
pass
pass
pass","['>>34591786', '>>34591794', '>>34592153', '>>34593311', '>>34593440', '>>34593548', '>>34593561', '>>34596022', '>>34599150', '>>34599459', '>>34600865', '>>34602930', '>>34604546', '>>34604699', '>>34604847']",[],1
28742,34573863,34575452,Anonymous,2/7/2024,17:08:24,>>34575392It's just a fact a lot of men are abusive af,"
It's just a fact a lot of men are abusive af",['>>34575392'],[],0
26716,this board sucks now,34575474,Anonymous,2/7/2024,17:11:09,"I hate this boards cultureWhen I first joined this community, it was a bunch of hons complaining about how ugly they are, I remember seeing frequent bonepill threads reminding everyone to take their daily ropefuelnowadays, whenever i post anything negative about being trans some delusional hon will come in and tell me to ""put in an effort and girlmode"" and any complaint about having like a male body will be met with something like ""have you considered that cis women deal with this too???""like, this hugboxing isnt even helping me. when everyone is dooming and being negative, i at least feel heard and listened to and i feel like im not the only one struggling. when everyone keeps hugboxing me i unironically feel worse off because of it.just had to block another person who was pretty okay but just miserably hugboxy to the point where it hurts me. this shit sucks.","I hate this boards cultureWhen I first joined this community, it was a bunch of hons complaining about how ugly they are, I remember seeing frequent bonepill threads reminding everyone to take their daily ropefuelnowadays, whenever i post anything negative about being trans some delusional hon will come in and tell me to ""put in an effort and girlmode"" and any complaint about having like a male body will be met with something like ""have you considered that cis women deal with this too???""like, this hugboxing isnt even helping me. when everyone is dooming and being negative, i at least feel heard and listened to and i feel like im not the only one struggling. when everyone keeps hugboxing me i unironically feel worse off because of it.just had to block another person who was pretty okay but just miserably hugboxy to the point where it hurts me. this shit sucks.",[],[''],1
17459,/ftmg/ Donner Party Edition,34565527,Joe,2/6/2024,19:54:27,>>34565502Post cranium >>34565506Even some butches run into trouble in the bathrooms,"
Post cranium 
Even some butches run into trouble in the bathrooms","['>>34565502', '>>34565506']",[],1
28361,34575573,34577393,Anonymous,2/7/2024,19:48:45,>>34575573Why? Wouldn’t they remind you of yourself too much?,"
Why? Wouldn’t they remind you of yourself too much?",['>>34575573'],[],1
50145,/passgen/ lovers month edition,34599505,Anonymous,2/9/2024,15:23:28,">>34593922god your so hot i wanna have sex with you, you make my T dick so hard","
god your so hot i wanna have sex with you, you make my T dick so hard",['>>34593922'],[],1
47896,/chasergen/ - seasonal edition,34598091,Anonymous,2/9/2024,13:08:18,>>34597988Imagine falling for that bullshit,"
Imagine falling for that bullshit",['>>34597988'],[],0
75193,34628493,34628564,Anonymous,02/11/24,21:28:33,>>34628493it was so obviously made by a self identified agp on here lol,"
it was so obviously made by a self identified agp on here lol",['>>34628493'],[],1
30695,/mtfg/ male to female general,34580131,Anonymous,2/8/2024,0:27:48,>save post,>save post,[],[],0
29952,34579137,34579600,Anonymous,2/7/2024,23:15:05,">>34579137This is some really cringe shit that one day you'll look back and think holy shit i was such a retard thank the lord i didn't do that dumbass stupid shit, what the fuck was i thinking?","
This is some really cringe shit that one day you'll look back and think holy shit i was such a retard thank the lord i didn't do that dumbass stupid shit, what the fuck was i thinking?",['>>34579137'],[],1
19723,AGP life is a comedy,34568455,Anonymous,2/7/2024,1:18:48,>>34567179based,"
based",['>>34567179'],[],1
72189,34623817,34625432,Anonymous,02/11/24,16:46:29,">>34625357>violent cock and ball torture from a cis bulldykeI guess, if the bulldyke is unbiased.What would it accomplish though?","
>violent cock and ball torture from a cis bulldykeI guess, if the bulldyke is unbiased.What would it accomplish though?",['>>34625357'],[''],0
11071,34557697,34557912,Anonymous,2/6/2024,3:45:54,">>34557903maybe if you got more used to it you would start to like it, especially if you got to cum rawdog in your bf and then cuddle together (after showering)","
maybe if you got more used to it you would start to like it, especially if you got to cum rawdog in your bf and then cuddle together (after showering)",['>>34557903'],[],0
34720,34583835,34583835,Anonymous,2/8/2024,9:44:30,"there is a tranny at the facialteam lobby with the stereotypical tranny skirt, tigh high socks, sneaker shoes and stripped sweater. if you're reading this, please don't do this, stop, it's a fashion crime. that's gigababytrans behaviour.","there is a tranny at the facialteam lobby with the stereotypical tranny skirt, tigh high socks, sneaker shoes and stripped sweater. if you're reading this, please don't do this, stop, it's a fashion crime. that's gigababytrans behaviour.",[],[],1
62847,/ftmg/ food to mouth edition,34615763,Anonymous,02/10/24,21:39:34,">>34615582she has a different mom, only my younger sister is full blood, the rest are half sisters. my older sister has huge tits and massive hips & ass with severe plaque psoriasis though","
she has a different mom, only my younger sister is full blood, the rest are half sisters. my older sister has huge tits and massive hips & ass with severe plaque psoriasis though",['>>34615582'],[],0
48926,/gaygen/ - TGIF edition,34598436,Anonymous,2/9/2024,13:38:46,sexpest,sexpest,[],[],0
20207,Yeah Its Over,34568678,Anonymous,2/7/2024,2:00:52,">>34568629>“good for her, this is the first day of the rest of her life!”Fuck it. I'm just going to start thinking that at everybody. What's good for the goose is good for the gander.","
>“good for her, this is the first day of the rest of her life!”Fuck it. I'm just going to start thinking that at everybody. What's good for the goose is good for the gander.",['>>34568629'],[],1
7134,/ftmg/ sisters will seem stran(...),34551911,Anonymous,2/5/2024,16:51:22,">>34551883no more terje threads let him nurse his (black) children in peace. he has retired from this place>>34551898the mods unironically white knight him. i got banned for ""offtopic"" posting a picture of him and calling him a lesbian in this general","
no more terje threads let him nurse his (black) children in peace. he has retired from this place
the mods unironically white knight him. i got banned for ""offtopic"" posting a picture of him and calling him a lesbian in this general","['>>34551883', '>>34551898']",[],1
28630,34573863,34574322,Anonymous,2/7/2024,15:26:25,>>34574223>>nice guys always finish lastThis tru tho tfTry to flirt like a romantic and them try to flirt like an asshole to women.Women respond more to the asshole flirting,"
>>nice guys always finish lastThis tru tho tfTry to flirt like a romantic and them try to flirt like an asshole to women.Women respond more to the asshole flirting",['>>34574223'],[''],0
26573,/repgen/ - repressor general,34577601,Anonymous,2/7/2024,20:04:09,>>34577521everyone in repgen has dysphoria though? what are you even repressing if you don't?,"
everyone in repgen has dysphoria though? what are you even repressing if you don't?",['>>34577521'],[],1
50467,/mtfg/ male to female general,34600869,Kotakins,2/9/2024,17:27:40,">>34600833When I was a wee lil lad prelady shenanigans my go to drink was just straight vodka, I have a really deep voice and am tallish so it was very easy to just walk into a liquor store and say ""I'm 21"". Good times...or bad times, I was an alcoholic and miserable due to identity issues but sometimes it was fun","
When I was a wee lil lad prelady shenanigans my go to drink was just straight vodka, I have a really deep voice and am tallish so it was very easy to just walk into a liquor store and say ""I'm 21"". Good times...or bad times, I was an alcoholic and miserable due to identity issues but sometimes it was fun",['>>34600833'],[''],1
29649,/lesgen/ - Lesbian General,34578760,Anonymous,2/7/2024,21:42:36,getting my gock sucked while I type this,getting my gock sucked while I type this,[],[],1
13454,34560199,34560887,Anonymous,2/6/2024,12:16:36,">>34560878no, i don't. you're describing a fantasy.","
no, i don't. you're describing a fantasy.",['>>34560878'],[],0
1594,mmg manmoder edition,34534844,Anonymous,2/4/2024,11:13:27,>>34534773my getting ffs making you at least less masculine>>34534796gm did it ever begin,"
my getting ffs making you at least less masculine
gm did it ever begin","['>>34534773', '>>34534796']",[],1
31705,coming out essay,34580436,Anonymous,2/8/2024,1:02:41,>>34580423based but if they are shitty they will just skill the first paragraph then shit on you anyway,"
based but if they are shitty they will just skill the first paragraph then shit on you anyway",['>>34580423'],[],0
42412,34592137,34592435,Anonymous,2/9/2024,0:41:38,">>34592137>does estrogen affect body hair? this shit is annoying.It does make it finer but I also just epilate to get rid of it, I don't want to pay for full body laser or deal with that. Between HRT and epilating and shaving I'm very smooth and don't have visible body hair even though I used to","
>does estrogen affect body hair? this shit is annoying.It does make it finer but I also just epilate to get rid of it, I don't want to pay for full body laser or deal with that. Between HRT and epilating and shaving I'm very smooth and don't have visible body hair even though I used to",['>>34592137'],[''],1
75476,Anamode and Breastgrowth,34628939,Anonymous,02/11/24,22:09:51,>>34627101>1500 kcaloriesnah that's pretty healthy actually for losing weight slowly but if anyone is interested in boobs I would just maintain weight or gain VERY slowly,"
>1500 kcaloriesnah that's pretty healthy actually for losing weight slowly but if anyone is interested in boobs I would just maintain weight or gain VERY slowly",['>>34627101'],[],1
14240,bingo,34560907,Anonymous,2/6/2024,12:19:35,>>34560864I have literally never used vrchat also this sucks look at the stripes and boxes wtf,"
I have literally never used vrchat also this sucks look at the stripes and boxes wtf",['>>34560864'],[],1
20864,/bigen/ - Bisexual General,34569799,WuMing,2/7/2024,5:27:15,>>34569727he who poops himself cannot call himself poopless,"
he who poops himself cannot call himself poopless",['>>34569727'],[],0
18187,34565390,34565556,Anonymous,2/6/2024,19:57:35,>>34565510All the black knows is violence,"
All the black knows is violence",['>>34565510'],[],0
31564,34573982,34581236,Nikki,2/8/2024,2:58:03,">>34573982The disgustingness of your average huss-tuss'es fetish outranks the disgustingness of your average AGP's diaper fetish.But its perfectly valid and normal for women to have these kinda fetishes (Withering Heights, 50 shades, etc.)","
The disgustingness of your average huss-tuss'es fetish outranks the disgustingness of your average AGP's diaper fetish.But its perfectly valid and normal for women to have these kinda fetishes (Withering Heights, 50 shades, etc.)",['>>34573982'],[''],1
61765,34606872,34612743,Anonymous,02/10/24,17:03:10,>>34612546every chaser i meet is from a different continent i swear,"
every chaser i meet is from a different continent i swear",['>>34612546'],[],0
74694,/gaygen/ - Superb Owl edish,34627835,Straight boi,02/11/24,20:21:01,>>34627814No... :/I've never been into football.>>34627815^u^,"
No... :/I've never been into football.
^u^","['>>34627814', '>>34627815']",[],0
13786,New detrans bait/cope,34561106,Anonymous,2/6/2024,12:43:56,>>34560846>You: “I’m a femboy rights activist!”>Me: “What rights do femboys not already have?”>You: “I get zero pussy.”Every fucking time,"
>You: “I’m a femboy rights activist!”>Me: “What rights do femboys not already have?”>You: “I get zero pussy.”Every fucking time",['>>34560846'],[],0
57555,34606158,34608679,Anonymous,2/10/2024,10:55:54,>>34608640Ok dude. Whatever.,"
Ok dude. Whatever.",['>>34608640'],[],0
69202,"gay men, explain yourselves",34620435,Anonymous,02/11/24,09:14:45,">>34620332Correct! That was supposed to be ""physiological"", a word that my phone autocorrect software does not like. Thank you for pointing out the error.","
Correct! That was supposed to be ""physiological"", a word that my phone autocorrect software does not like. Thank you for pointing out the error.",['>>34620332'],[],0
31166,/chasergen/ accident edition,34577708,Luna,2/7/2024,20:11:02,">>34577657I like you anon, you're the only chaser that actually uses vocaroos and shows emotion, got a nice voice too>>34577680tranners need to understand they're worth more than a spineless little kid, if you love someone you love them, not some chud loser, you can always make new friends if they're that shitty","
I like you anon, you're the only chaser that actually uses vocaroos and shows emotion, got a nice voice too
tranners need to understand they're worth more than a spineless little kid, if you love someone you love them, not some chud loser, you can always make new friends if they're that shitty","['>>34577657', '>>34577680']",[],1
7660,34551747,34554301,Anonymous,2/5/2024,19:59:36,>>34554130>cute naked boymoders and tranners pressinng their pale bodies and HRTitties into plushie sharks>boringThe fuck do you find interesting?,"
>cute naked boymoders and tranners pressinng their pale bodies and HRTitties into plushie sharks>boringThe fuck do you find interesting?",['>>34554130'],[],1
67968,34617058,34620270,Anonymous,02/11/24,08:53:04,">>34617058Brother, I plan to gut you and eat your heart while you are still conscious. STOP POSTING THAT PIC!!!>>34620248THANK YOU MY GOD IT LOOKS LIKE I'M NOT THE ONLY ONE WHO'S SICK OF SEEING THE DAMN PIC?!!","
Brother, I plan to gut you and eat your heart while you are still conscious. STOP POSTING THAT PIC!!!
THANK YOU MY GOD IT LOOKS LIKE I'M NOT THE ONLY ONE WHO'S SICK OF SEEING THE DAMN PIC?!!","['>>34617058', '>>34620248']",[],0
5947,34539341,34550047,Anonymous,2/5/2024,14:20:48,>>34549291This. I just want her to go back to her LetsPlay streams. Her Resident Evil ones were hilarious and her Morrowind/Oblivion ones are cozy af.,"
This. I just want her to go back to her LetsPlay streams. Her Resident Evil ones were hilarious and her Morrowind/Oblivion ones are cozy af.",['>>34549291'],[],0
58221,i started dating a girl,34606589,Anonymous,2/10/2024,5:28:59,>>34606494back to /int/ Abdul,"
back to /int/ Abdul",['>>34606494'],[],1
